Santa Eugenia,Madrid,164,9
Peñagrande,Madrid,1325,59
Palomeras Bajas,Madrid,141,46
les Corts,Barcelona,502.5,229
Valdemarín,Madrid,275,12
la Sagrera,Barcelona,300.670013427734,39
San Diego,Madrid,1056,244
la Maternitat i Sant Ramon,Barcelona,3200,70
Vallcarca i els Penitents,Barcelona,575.5,77
Cuatro Caminos,Madrid,3230,470
Entrevías,Madrid,304,60
el Bon Pastor,Barcelona,150,8
Fuentelareina,Madrid,1446.85998535156,5
Diagonal Mar i el Front Marítim del Poblenou,Barcelona,2100,119
Vinateros,Madrid,210,34
Palos de Moguer,Madrid,4644.58984375,369
Guindalera,Madrid,1141,390
Concepción,Madrid,605,86
Arcos,Madrid,1892,46
Horta,Barcelona,297,12
Almagro,Madrid,765,223
San Juan Bautista,Madrid,1025,29
Justicia,Madrid,1510,1120
la Marina del Prat Vermell,Barcelona,559,3
"Sant Pere, Santa Caterina i la Ribera",Barcelona,4080,925
Zofío,Madrid,456.670013427734,47
San Pascual,Madrid,457,38
Sant Genís dels Agudells,Barcelona,617,5
Horcajo,Madrid,69,4
Almenara,Madrid,377.5,185
El Plantío,Madrid,589,19
Sants - Badal,Barcelona,1062,149
les Tres Torres,Barcelona,414.25,56
Sant Andreu,Barcelona,1670.80004882813,73
Palomeras Sureste,Madrid,424.929992675781,49
Comillas,Madrid,571,130
el Baix Guinardó,Barcelona,550,89
Adelfas,Madrid,571,130
Casco Histórico de Barajas,Madrid,570.599975585938,49
"Vallvidrera, el Tibidabo i les Planes",Barcelona,868.349975585938,30
el Fort Pienc,Barcelona,1484,424
les Roquetes,Barcelona,338.670013427734,13
Berruguete,Madrid,1169,222
Orcasur,Madrid,571,66
el Coll,Barcelona,440.109985351563,27
Media Legua,Madrid,204.5,21
Numancia,Madrid,1046,219
Ciutat Meridiana,Barcelona,80,1
Niño Jesús,Madrid,1425,61
Sant Gervasi - Galvany,Barcelona,1632,448
